sku,sales_unit_price,cost
FWD303WR,90.0,67.5
FWD306WR,90.0,67.5
FWD302WR,90.0,67.5
FWD323WR,90.0,67.5
FWD351WR,90.0,67.5
FWD7305WR,120.0,90.0
FWD500WR,90.0,67.5
FWD502WR,90.0,67.5
FWD504WR,90.0,67.5
FWD508WR,90.0,67.5
FWD520WR,90.0,67.5
FWD522WR,90.0,67.5
FWD524WR,90.0,67.5
FWD525WR,90.0,67.5
FWD534WR,90.0,67.5
FWD5518WR,120.0,90.0
FWD5519WR,120.0,90.0
FWD6002AWR,80.0,60.0
FWD6003TWR,80.0,60.0
FWD8205WR,220.0,165.0
FWD8503WR,180.0,135.0
FWD96107SW,100.0,75.0
FWD901KSW,130.0,97.5
FWDV015,8010.0,6007.5
FWDV020,8870.0,6652.5
FWDV040,7045.0,5283.75
FWDV060,5840.0,4380.0
FWDV080,5060.0,3795.0
FWDV095,2140.0,1605.0
FWDV150,2560.0,1920.0
FWDV155,1390.0,1042.5
FWDV220,1410.0,1057.5
FWDV550,1310.0,982.5
FWDV580,1310.0,982.5
FWDV040B,5850.0,4387.5
FWDV060B,4825.0,3618.75
FWDV080B,4230.0,3172.5
FWDV095B,1780.0,1335.0
FWDV150B,2220.0,1665.0
FWD7305,60.0,45.0
FWD7322,70.0,52.5
FWD7322B,70.0,52.5
FWD7322T,75.0,56.25
FWD7331,110.0,82.5
FWD7351,60.0,45.0
FWD7352,60.0,45.0
FWD7365,60.0,45.0
FWD7504,100.0,75.0
FWD001,105.0,78.75
FWD600,50.0,37.5
HM010AS,25.0,18.75
HC010AS,25.0,18.75
FWD8103,60.0,45.0
FWD8153,60.0,45.0
FWD8173,60.0,45.0
FWD8120,85.0,63.75
FWD8201,135.0,101.25
FWD8207,135.0,101.25
FWD8211,135.0,101.25
FWD8212,135.0,101.25
FWD8223,135.0,101.25
FWD8205,110.0,82.5
FWD8215,110.0,82.5
FWD8216,110.0,82.5
FWD8218,110.0,82.5
FWD8219,110.0,82.5
FWD8224,110.0,82.5
FWD8235,110.0,82.5
FWD8236,110.0,82.5
FWD8503,110.0,82.5
FWD816C,130.0,97.5
FWD819C,130.0,97.5
FWD9220YBT,210.0,157.5
FWD9221RGT,210.0,157.5
FWD9222PG,210.0,157.5
FWD9223PYT,210.0,157.5
FWD9224BOT,210.0,157.5
FWD9225BMT,210.0,157.5
FWD9226GOT,210.0,157.5
FWD9227GOT,210.0,157.5
FWD9228PG,210.0,157.5
FWD9250YBT,210.0,157.5
FWD9251RGT,210.0,157.5
FWD9252PGT,210.0,157.5
FWD9255BOT,210.0,157.5
FWD9256BMT,210.0,157.5
FWD9257GOT,210.0,157.5
FWD9275BO,210.0,157.5
FWD9230YB,210.0,157.5
FWD9232MG,210.0,157.5
FWD9233PO,210.0,157.5
FWD9234BO,210.0,157.5
FWD9235BV,210.0,157.5
FWD9237GR,210.0,157.5
FWD9240YB,210.0,157.5
FWD9244BO,210.0,157.5
FWD9245BM,210.0,157.5
FWD9247GR,210.0,157.5
FWD9367GR,210.0,157.5
FWDM9251RG,500.0,375.0
FWDM9224BO,500.0,375.0
FWDM9222PG,500.0,375.0
FWDM9227GO,500.0,375.0
BHC9330YB,500.0,375.0
BHC9331RY,500.0,375.0
BHC9332MY,500.0,375.0
BHC9333PG,500.0,375.0
