SKU,target_month,predicted_qty,mae,rmse,mape,model_version,trained_at
BHC100,2026-02,0.0,17.88,26.56,0.4438,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC100,2026-03,0.0,17.88,26.56,0.4438,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC100,2026-04,0.0,17.88,26.56,0.4438,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC100,2026-05,0.0,17.88,26.56,0.4438,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2025-12,28.3,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2026-01,83.82,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2026-02,20.81,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2026-03,0.0,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2026-04,62.0,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC110,2026-05,0.55,192.06,299.44,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2025-12,15.2,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2026-01,0.0,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2026-02,0.0,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2026-03,0.0,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2026-04,0.0,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11401C,2026-05,0.0,27.67,34.1,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2025-12,0.24,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2026-01,0.0,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2026-02,0.0,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2026-03,0.0,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2026-04,0.0,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC11402C,2026-05,0.0,5.37,11.39,,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2025-12,0.8,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2026-01,0.0,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2026-02,0.0,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2026-03,5.23,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2026-04,0.0,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
BHC120,2026-05,60.95,62.84,114.64,1.0,lgbm-v1,2026-04-11T02:53:17.769190Z
