SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD219S,20121160,600.0,0.0,0.0,200.0,400.0,400.0,0.0,2D-2,400.0,0,,2025-01
FWD219K,24042760,1677.0,0.0,100.0,0.0,1577.0,1577.0,,2D-1,1577.0,0,,2025-01
FWD219Y,22121760,750.0,0.0,0.0,0.0,750.0,750.0,0.0,2D-2,750.0,0,,2025-01
FWD225,24101960,5100.0,0.0,0.0,150.0,4950.0,7025.0,773.0,2C-1,4950.0,0,,2025-01
FWD225,24101960,3000.0,0.0,0.0,925.0,2075.0,,,2G-3,2075.0,0,,2025-01
FWD225Z,24061862,550.0,0.0,0.0,0.0,550.0,550.0,,3B-1,550.0,0,,2025-01
FWD225S,23091963,1000.0,0.0,0.0,300.0,700.0,700.0,0.0,2B-3,700.0,0,,2025-01
FWD225K,21041562,1300.0,0.0,800.0,0.0,500.0,500.0,,B-2,500.0,0,,2025-01
FWD225A,24010261,550.0,0.0,0.0,0.0,550.0,550.0,,2D-1,550.0,0,,2025-01
FWD235,23060161,24.3,0.0,0.0,0.0,24.3,2098.4,500.0,D-2,24.3,0,,2025-01
FWD235,24011562,2174.1,0.0,0.0,100.0,2074.1,,,2C-4,2074.1,0,,2025-01
FWD235T,19062263,200.0,0.0,0.0,0.0,200.0,200.0,,4E-4,200.0,0,,2025-01
FWD235K,21041563,150.0,0.0,0.0,0.0,150.0,150.0,,2B-4,150.0,0,,2025-01
FWD201,24052960,2364.48,0.0,0.0,166.0,2198.48,2198.48,800.0,2F-2,2198.48,0,,2025-01
FWD201,24120661,500.0,0.0,0.0,250.0,250.0,250.0,,A-3,250.0,0,,2025-01
FWD211,24111960,4466.0,0.0,0.0,258.0,4208.0,4208.0,500.0,2E-2,4208.0,0,,2025-01
FWD223,24111660,2194.0,0.0,0.0,51.0,2143.0,2143.0,447.0,2C-3,2143.0,0,,2025-01
FWD221,24110760,4411.5,0.0,0.0,611.0,3800.5,3800.5,600.0,2F-3,3800.5,0,,2025-01
FWD221S,21051960,825.0,0.0,0.0,0.0,825.0,825.0,0.0,2E-2,825.0,0,,2025-01
FWD224,20080861,225.0,0.0,0.0,2.0,223.0,223.0,0.0,C-2,223.0,0,,2025-01
FWD224T,24092761,1325.0,0.0,0.0,450.0,875.0,875.0,,2B-3,875.0,0,,2025-01
FWD231,24111861,4039.67,0.0,0.0,85.0,3954.67,3954.67,493.0,2G-6,3954.67,0,,2025-01
