SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD219Y,22121760,750.0,0.0,0.0,0.0,750.0,750.0,0.0,2D-2,750.0,0,,2025-02
FWD225,24101960,4950.0,0.0,0.0,100.0,4850.0,6375.0,773.0,2C-1,4850.0,0,,2025-02
FWD225,24101960,2075.0,0.0,0.0,550.0,1525.0,,,2G-3,1525.0,0,,2025-02
FWD225Z,24061862,550.0,0.0,0.0,550.0,0.0,0.0,,,0.0,0,,2025-02
FWD225S,23091963,700.0,0.0,0.0,0.0,700.0,700.0,0.0,2B-3,700.0,0,,2025-02
FWD225K,21041562,500.0,0.0,0.0,0.0,500.0,500.0,,B-2,500.0,0,,2025-02
FWD225A,24010261,550.0,0.0,0.0,0.0,550.0,550.0,,2D-1,550.0,0,,2025-02
FWD235,23060161,24.3,0.0,0.0,5.0,19.3,2018.4,500.0,D-2,19.3,0,,2025-02
FWD235,24011562,2074.1,0.0,0.0,75.0,1999.1,,,2C-4,1999.1,0,,2025-02
FWD235T,19062263,200.0,0.0,0.0,0.0,200.0,200.0,,4E-4,200.0,0,,2025-02
FWD235K,21041563,150.0,0.0,0.0,0.0,150.0,150.0,,2B-4,150.0,0,,2025-02
FWD201,24052960,2198.48,0.0,0.0,225.0,1973.48,1973.48,800.0,2F-2,1973.48,0,,2025-02
FWD201,24120661,250.0,0.0,0.0,0.0,250.0,250.0,,A-3,250.0,0,,2025-02
FWD211,24111960,4208.0,0.0,0.0,385.0,3823.0,3823.0,500.0,2E-2,3823.0,0,2个零头,2025-02
FWD223,24111660,2143.0,0.0,0.0,110.0,2033.0,2033.0,447.0,2C-3,2033.0,0,,2025-02
FWD221,24110760,3800.5,0.0,6.0,325.0,3469.5,3469.5,600.0,2F-3,3469.5,0,,2025-02
FWD221S,21051960,825.0,0.0,0.0,0.0,825.0,825.0,0.0,2E-2,825.0,0,,2025-02
FWD224,20080861,223.0,0.0,0.0,25.0,198.0,198.0,0.0,C-2,198.0,0,,2025-02
FWD224T,24092761,875.0,0.0,0.0,750.0,125.0,125.0,,2B-3,125.0,0,,2025-02
FWD231,24111861,3954.67,0.0,0.0,135.0,3819.67,3819.67,493.0,2G-6,3819.67,0,,2025-02
FWD249,23100761,708.95,0.0,0.0,50.0,658.95,658.95,325.0,4B-1,658.95,0,,2025-02
FWD249A,23112460,125.0,0.0,0.0,0.0,125.0,125.0,,2E-1,125.0,0,,2025-02
FWD249,24050661,431.0,0.0,0.0,0.0,431.0,431.0,,2F-4,431.0,0,,2025-02
FWD216,24111863,3290.1,0.0,290.1,0.0,3000.0,3000.0,0.0,2B-4,3000.0,0,,2025-02
FWD216K,24043060,678.13,0.0,0.0,0.0,678.13,678.13,,4A-3,678.13,0,2个零头,2025-02
FWD216Y,24070260,682.0,0.0,0.0,0.0,682.0,682.0,0.0,2E-1,682.0,0,,2025-02
FWD217,18011860,274.5,0.0,0.0,50.0,224.5,224.5,0.0,2B-3,224.5,0,,2025-02
FWD299,23082163,534.0,0.0,0.0,0.0,534.0,534.0,,2E-1,534.0,0,,2025-02
FWD289,23091661,197.0,0.0,0.0,100.0,97.0,97.0,0.0,2D-1,97.0,0,,2025-02
FWD1289,16122660,768.44,0.0,0.0,50.0,718.44,718.44,,B-1,718.44,0,,2025-02
FWD300,24111961,4500.0,0.0,0.0,500.0,4000.0,15030.0,2000.0,3B-4,4000.0,0,,2025-02
FWD300,24111961,6000.0,0.0,0.0,150.0,5850.0,,,3A-1,5850.0,0,,2025-02
FWD300,24111961,4240.0,0.0,0.0,-40.0,4280.0,,,3B-3,4280.0,0,,2025-02
FWD300,24111961,900.0,0.0,0.0,0.0,900.0,,,2B-1,900.0,0,,2025-02
FWD300B,24052961,2138.0,0.0,0.0,200.0,1938.0,1938.0,0.0,3A-1,1938.0,0,,2025-02
FWD300S,21072760,300.0,0.0,0.0,0.0,300.0,300.0,0.0,2E-2,300.0,0,,2025-02
FWD300Y,24082860,840.0,0.0,0.0,100.0,740.0,740.0,0.0,3B-4,740.0,0,,2025-02
