sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
BHC6532H,,48.75,65,缺品类
BHC6534H,,48.75,65,缺品类
BHC6535H,,48.75,65,缺品类
BHC6550,,54,72,缺品类
BHC6600,,112.5,150,缺品类
BHC6600RG,,112.5,150,缺品类
BHC66040,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6607,,112.5,150,缺品类
BHC6607AH,,112.5,150,缺品类
BHC6607AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6607H,,112.5,150,缺品类
BHC6608,,112.5,150,缺品类
BHC66080,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6609,,112.5,150,缺品类
BHC6609H,,112.5,150,缺品类
BHC6611,,90,120,缺品类
BHC6643,,150,200,缺品类
BHC6643A,,150,200,缺品类
BHC6643AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6643D,,150,200,缺品类
BHC6650,,150,200,缺品类
BHC6650AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6654,,150,200,缺品类
BHC6664,,90,120,缺品类
BHC6665AH,,90,120,缺品类
BHC6665AHAS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC6810AH,,51,68,缺品类
BHC6820H,,63.75,85,缺品类
BHC6830H,,63.75,85,缺品类
BHC6840H,,63.75,85,缺品类
BHC6850H,,63.75,85,缺品类
BHC6860H,,63.75,85,缺品类
BHC6881H,,54,72,缺品类
BHC6882H,,54,72,缺品类
BHC6883H,,54,72,缺品类
BHC6884H,,54,72,缺品类
BHC6885H,,54,72,缺品类
BHC7305H,,56.25,75,缺品类
BHC7322H,,63.75,85,缺品类
BHC7331H,,90,120,缺品类
BHC7351H,,56.25,75,缺品类
BHC7353H,,56.25,75,缺品类
BHC7354,,56.25,75,缺品类
BHC7356H,,54,72,缺品类
BHC7365H,,63.75,85,缺品类
BHC8103,,0,,缺品类 / 缺成本 / 缺销售单价
BHC815-W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC815W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC816C,,97.5,130,缺品类
BHC819C,,97.5,130,缺品类
BHC820-W,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8205,,97.5,130,缺品类
BHC8216H,,97.5,130,缺品类
BHC8224H,,97.5,130,缺品类
BHC8235H,,97.5,130,缺品类
BHC8301,,56.25,75,缺品类
BHC8350,,0,,缺品类 / 缺成本 / 缺销售单价
BHC84010,,112.5,150,缺品类
BHC8410,,120,160,缺品类
BHC84117(AS),,0,,缺品类 / 缺成本 / 缺销售单价
BHC84117,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8413,,135,180,缺品类
BHC8413AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8413S,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8416,,90,120,缺品类
BHC8416AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8417,,90,120,缺品类
BHC8426,,101.25,135,缺品类
BHC8429,,82.5,110,缺品类
BHC8429AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC8434,,101.25,135,缺品类
