sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
FWD7305TD,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305TDG,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7305TQ,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7306,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7315,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7321,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7351T,,0,,缺品类 / 缺成本 / 缺销售单价
FWD7355,,0,,缺品类 / 缺成本 / 缺销售单价
FWD8103,,45,60,缺品类
FWD8120,,63.75,85,缺品类
FWD8153,,45,60,缺品类
FWD8153T,,0,,缺品类 / 缺成本 / 缺销售单价
FWD8173,,45,60,缺品类
FWD8173SW,,90,120,缺品类
FWD819C,,97.5,130,缺品类
FWD8201,,101.25,135,缺品类
FWD8204,,0,,缺品类 / 缺成本 / 缺销售单价
FWD8205,,82.5,110,缺品类
FWD8207,,101.25,135,缺品类
FWD8211,,101.25,135,缺品类
FWD8212,,101.25,135,缺品类
FWD8215,,82.5,110,缺品类
FWD8215T,,0,,缺品类 / 缺成本 / 缺销售单价
FWD8216,,82.5,110,缺品类
FWD8218,,82.5,110,缺品类
FWD8219,,82.5,110,缺品类
FWD8221SW,,120,160,缺品类
FWD8223,,101.25,135,缺品类
FWD8224,,82.5,110,缺品类
FWD8235,,82.5,110,缺品类
FWD8236,,82.5,110,缺品类
FWD8503,,82.5,110,缺品类
FWD8503SW,,165,220,缺品类
FWD9126GP,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9200BMT,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9220YB,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9220YBT,,157.5,210,缺品类
FWD9221RG,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9221RGH,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9221RGT,,157.5,210,缺品类
FWD9222PG,,157.5,210,缺品类
FWD9223PY,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9223PYT,,157.5,210,缺品类
FWD9224BO,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9224BOT,,157.5,210,缺品类
FWD9225BM,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9225BMT,,157.5,210,缺品类
FWD9226GOT,,157.5,210,缺品类
FWD9227GO,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9227GOT,,157.5,210,缺品类
FWD9228PG,,157.5,210,缺品类
FWD9230YB,,157.5,210,缺品类
FWD9232MG,,157.5,210,缺品类
FWD9233PO,,157.5,210,缺品类
FWD9234BO,,157.5,210,缺品类
FWD9235BV,,157.5,210,缺品类
FWD9237GR,,157.5,210,缺品类
FWD9240YB,,157.5,210,缺品类
FWD9244BO,,157.5,210,缺品类
FWD9245BM,,157.5,210,缺品类
FWD9247GR,,157.5,210,缺品类
FWD9250YB,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9250YBS,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9250YBT,,157.5,210,缺品类
FWD9251RG,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9251RGT,,157.5,210,缺品类
FWD9252PG,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9252PGT,,157.5,210,缺品类
FWD9255BO,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9255BOT,,157.5,210,缺品类
FWD9256BM,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9256BMT,,157.5,210,缺品类
FWD9257GOT,,157.5,210,缺品类
FWD9275BO,,157.5,210,缺品类
FWD9337BP,,0,,缺品类 / 缺成本 / 缺销售单价
FWD9367GR,,157.5,210,缺品类
FWD9453,,0,,缺品类 / 缺成本 / 缺销售单价
FWDD23XST,,0,,缺品类 / 缺成本 / 缺销售单价
FWDD28XST,,0,,缺品类 / 缺成本 / 缺销售单价
FWDD29LT,,0,,缺品类 / 缺成本 / 缺销售单价
FWDM9222PG,,375,500,缺品类
FWDM9224BO,,375,500,缺品类
FWDM9227GO,,375,500,缺品类
FWDM9251RG,,375,500,缺品类
FWDV040A,,0,,缺品类 / 缺成本 / 缺销售单价
FWDV090,,0,,缺品类 / 缺成本 / 缺销售单价
FWDV090B,,0,,缺品类 / 缺成本 / 缺销售单价
HC010AS(云母粉）,,0,,缺品类 / 缺成本 / 缺销售单价
HC025,,0,,缺品类 / 缺成本 / 缺销售单价
HC025（云母粉）,,0,,缺品类 / 缺成本 / 缺销售单价
HM010AS(云母粉）,,0,,缺品类 / 缺成本 / 缺销售单价
定制123,,0,,缺品类 / 缺成本 / 缺销售单价
定制173,,0,,缺品类 / 缺成本 / 缺销售单价
瑞克100,,0,,缺品类 / 缺成本 / 缺销售单价
